x,y,z
-22.236195,-5.7229805,-5.4495993
-21.312887,-4.210418,-1.1683357
-0.03935505,10.33568,-0.60772926
13.111059,7.721561,-0.0687967
11.489575,5.7891717,5.853568
5.7854295,-9.047854,-1.6222851
13.650739,7.384031,-2.3979363
10.114279,2.0853996,8.592685
9.759156,0.7700571,8.9318
6.27943,-9.155712,0.50639313
-8.71438,-7.783993,-5.8479996
-9.92312,-2.4893124,-8.705348
-1.6320488,7.438408,6.597464
-1.9789892,6.3335733,7.55444
0.594524,9.234768,-4.622258
-0.74279743,9.795147,2.8855605
3.5444279,-3.8049505,-8.807708
8.1208935,-5.634564,7.4182606
-0.93123055,9.350151,3.922975
-8.578309,-8.202553,-5.3284454
-17.112387,3.0105536,6.1394267
-5.246063,-5.130776,8.0083
12.281733,7.1787953,3.6338122
17.136366,-1.5406162,-7.062663
8.135882,-5.5861797,7.4609985
-4.948799,-4.1197653,8.598139
-3.9740334,-0.65359217,9.546576
7.124842,-8.50556,4.190619
-4.4737372,-2.4510205,9.242178
-1.7636468,7.0331416,6.997338
-9.803463,-3.128797,-8.618845
13.0023985,7.713005,0.4054091
11.384315,5.5587187,6.128308
18.719568,-4.250157,-4.558325
-3.9932196,-0.72312653,9.540035
-19.051353,-0.6074199,4.378782
-21.873648,-5.1326866,-3.6831768
-4.001087,-0.75168306,9.538456
9.854068,1.1493028,8.848468
7.521675,-7.462405,5.57629
7.091395,-8.448646,3.9898522
7.825644,-6.590282,6.5667567
8.463081,-4.404965,8.200137
4.0578,-5.4574566,-7.6664176
-1.6372398,7.422448,6.613535
2.056263,2.9420738,-9.705091
-10.14328,-1.2812308,-8.788489
14.640905,5.2746863,-5.8373127
21.947603,-3.8918474,4.3153043
16.08268,1.1356275,-7.6001916
1.7746544,4.2895513,-9.28861
-3.125476,2.400374,9.39168
7.6527424,-7.125266,6.028283
8.797754,-3.0905752,8.708817
-2.1580393,5.7393074,7.960088
-10.415314,0.31674567,-8.7080555
-9.462512,-4.8037543,-8.063511
-6.0550494,-7.61283,5.8002987
-0.21804164,10.302867,0.4837825
-2.42781,4.8269625,8.49067
-6.6340585,-8.97883,3.6462364
-4.5239286,-2.629376,9.191747
-2.8385904,3.4085178,9.1101885
-0.27575406,10.441788,0.6112368
-22.096666,-5.4987383,-4.7586474
-6.359993,-8.390604,4.7207365
-0.27734742,10.297156,0.78926647
22.163685,-3.6281996,4.9818916
20.480862,-4.9927626,-0.091210775
15.520937,2.7247872,-7.399229
-10.781422,2.6511166,-7.8112955
-20.174198,-2.4689872,2.2949874
-7.946071,-9.510038,-2.5306623
2.2002687,2.25376,-9.833561
2.3120718,1.7210767,-9.90092
3.7523966,-4.4360995,-8.4289465
0.075728424,10.294827,-1.3562496
0.8114922,8.552236,-5.8481503
-6.4956074,-8.708507,4.2092032
2.1015043,2.7259834,-9.749242
-3.5337222,0.9358381,9.578229
10.079984,1.8534783,8.702322
21.809608,-4.049993,3.8892555
23.10314,-1.6928998,7.6428585
22.686586,-2.8829765,6.5600367
2.243212,2.046887,-9.887672
-6.4060774,-8.499174,4.5460906
-0.95759404,9.302511,4.005927
7.5749373,-7.3550115,5.7763405
-0.7464302,9.898365,2.488003
-9.135365,-6.2306614,-7.24066
-20.525883,-2.9972103,1.4233285
-21.022497,-3.754572,-0.11631843
-19.039627,-0.6267315,4.388245
-11.189145,3.7373013,-7.19617
-9.387954,-5.1464214,-7.900598
-9.425936,-4.972643,-7.984644
-4.7760954,-3.5184498,8.874918
-12.716741,8.264392,-0.20332399
-9.510357,-4.5850844,-8.169887
-16.793877,3.6108644,6.124345
11.878597,6.550112,4.7104015
18.848606,-4.3903484,-4.27837
22.784386,-2.688807,6.842114
15.262727,3.492707,-7.065874
-4.6148405,-2.9515934,9.091344
-18.88458,-0.68477845,4.6014857
-8.876428,-7.2209034,-6.4188466
-4.0863705,-1.0585233,9.504498
8.146561,-5.5499353,7.4875274
0.86039096,8.368396,-6.0883384
10.860995,4.2929134,7.327569
-4.8635125,-3.824668,8.742534
0.98862636,7.852004,-6.6811385
-4.7693286,-3.4936094,8.88233
7.0808153,-8.643516,4.048866
4.02339,-5.332151,-7.7777624
14.798697,4.8372407,-6.20971
23.117077,-1.6418867,7.67197
22.52958,-3.1285822,6.1026726
7.7357035,-6.872397,6.2993407
-11.393836,4.574976,-6.67806
-4.3927674,-2.1611624,9.307912
-0.32985932,10.259669,1.0887345
-1.7742106,6.99411,7.01663
-8.939701,-6.9877343,-6.62707
-19.896833,-2.0614443,2.888481
-22.257006,-5.5572853,-5.0261564
-22.365572,-5.9344893,-5.892154
-20.85634,-3.49796,0.43241268
-20.976892,-3.683496,0.036596667
-11.979522,7.3001766,-3.1927304
-14.101754,7.651825,3.6592026
-9.794961,-3.1733906,-8.608965
-21.348982,-4.2687716,-1.3132862
-8.209619,-9.068479,-3.7426589
-3.1084895,2.460955,9.378526
11.540197,5.8926253,5.7160153
13.736322,7.25784,-2.751028
8.917647,-2.6077442,8.831812
-6.774363,-9.220147,3.0473795
-20.388695,-2.7929368,1.7813405
-14.148405,8.225241,2.928404
0.37513247,9.809282,-3.2771928
12.35718,7.289465,3.0969508
22.426786,-3.2793622,5.78488
14.579021,5.4338675,-5.66974
19.57729,-4.896165,-2.5415916
-2.0503585,6.0974965,7.7204924
2.7861736,-0.47176588,-9.859573
-2.8813531,3.2588317,9.1520405
3.0842695,-1.7843359,-9.586262
17.630917,-2.57712,-6.459971
22.08514,-3.724233,4.74019
22.95539,-2.2254324,7.293159
11.457929,5.760298,5.988836
-1.0740393,9.00961,4.533383
-2.410205,4.887948,8.464796
